,participant,list,trial_order_participant,counterbalance,pair_order_id,prime_word_id,target_word_id,target_condition,prime,target,flag_40,all_prime_target_flags,bin_num,16,17,20,21,24,25,28,29,30
7,8,4,42,1,1692,84,1184,RVF-ASS-STRONG,SIGHT,SEE,no,"['0', '0', '0', '0', '0', '0']",2,1.85,3.59,6.2,2.8,-3.54,-5.24,-2.65,-0.88,-1.61
8,9,3,13,1,1113,26,1126,RVF-ASS-STRONG,STEEP,HILL,no,"['0', '0', '0', '0', '0', '0']",2,24.03,21.18,14.16,21.55,13.59,17.63,16.07,18.92,10.47
9,10,2,29,1,579,57,1157,RVF-ASS-STRONG,CRAWL,BABY,no,"['0', '0', '0', '0', '0', '0']",2,5.23,5.27,2.97,4.14,5.01,8.52,8.84,10.69,9.22
10,11,2,29,1,579,57,1157,RVF-ASS-STRONG,CRAWL,BABY,no,"['0', '0', '0', '0', '0', '0']",2,17.86,22.92,27.35,30.58,11.45,18.43,21.15,25.52,14.37
11,12,3,13,1,1113,26,1126,RVF-ASS-STRONG,STEEP,HILL,no,"['0', '0', '0', '0', '0', '0']",2,6.98,7.41,9.78,5.57,4.11,3.86,5.99,3.27,0.51
12,13,2,29,1,579,57,1157,RVF-ASS-STRONG,CRAWL,BABY,no,"['0', '0', '0', '0', '0', '0']",2,18.59,19.98,22.7,21.64,22.17,18.03,23.36,21.58,20.54
13,14,1,30,1,30,59,1159,RVF-ASS-STRONG,VASE,FLOWER,no,"['0', '0', '0', '0', '0', '0']",2,0.91,3.92,1.28,0.82,-3.87,0.71,-2.79,0.79,-5.66
14,15,1,30,1,30,59,1159,RVF-ASS-STRONG,VASE,FLOWER,no,"['0', '0', '0', '0', '0', '0']",2,9.21,4.26,6.79,10.27,6.65,7.3,13.73,14.94,18.54
15,16,2,29,1,579,57,1157,RVF-ASS-STRONG,CRAWL,BABY,no,"['0', '0', '0', '0', '0', '0']",2,0,0,0,0,0,0,0,0,0
16,17,2,29,1,579,57,1157,RVF-ASS-STRONG,CRAWL,BABY,no,"['0', '0', '0', '0', '0', '0']",2,5.95,4.1,6.18,8.36,8.27,3.01,8.06,8.5,9.24
