,participant,list,trial_order_participant,counterbalance,pair_order_id,prime_word_id,target_word_id,target_condition,prime,target,flag_40,all_prime_target_flags,bin_num,16,17,20,21,24,25,28,29,30
6,7,1,32,1,32,459,435,RVF-ASS-STRONG,PRACTICE,PERFECT,no,"['0', '0', '0', '0', '0', '0']",2,12.24,8.85,26.71,9.2,4.68,-2.07,1.79,-4.47,-15.33
7,8,2,18,1,348,585,553,RVF-ASS-STRONG,THEFT,STEAL,no,"['0', '0', '0', '0', '0', '0']",2,25.12,24.99,29.37,26.26,14.16,17.75,22.78,22.15,16.49
8,9,1,32,1,32,459,435,RVF-ASS-STRONG,PRACTICE,PERFECT,no,"['0', '0', '0', '0', '0', '0']",2,16.71,21.93,26.11,17.68,7.12,14.94,12.71,14.32,10.96
9,10,2,18,1,348,585,553,RVF-ASS-STRONG,THEFT,STEAL,no,"['0', '0', '0', '0', '0', '0']",2,-5.57,-6.18,-3.49,-4.44,-3.48,-1.43,-3.9,-4.05,-0.42
10,11,1,32,1,32,459,435,RVF-ASS-STRONG,PRACTICE,PERFECT,no,"['0', '0', '0', '0', '0', '0']",2,14.05,18.12,16.42,17.1,12.74,15.43,13.79,14.32,9.99
11,12,3,24,1,684,230,658,RVF-ASS-STRONG,ESSAY,WRITE,no,"['0', '0', '0', '0', '0', '0']",2,10.67,2.86,4.44,3.82,9.68,7.03,6.92,4.45,4.04
12,13,4,16,1,1006,97,142,RVF-ASS-STRONG,CAFE,COFFEE,no,"['0', '0', '0', '0', '0', '0']",2,9.67,10.11,14.04,9.56,8.95,7.93,10.09,3.12,3.62
13,14,3,24,1,684,230,658,RVF-ASS-STRONG,ESSAY,WRITE,no,"['0', '0', '0', '0', '0', '0']",2,1.06,9.64,3.5,3.34,3.51,13.16,1.03,8.52,8.36
14,15,4,16,1,1006,97,142,RVF-ASS-STRONG,CAFE,COFFEE,no,"['0', '0', '0', '0', '0', '0', '0']",2,0,0,0,0,0,0,0,0,0
15,16,4,16,1,1006,97,142,RVF-ASS-STRONG,CAFE,COFFEE,no,"['0', '0', '0', '0', '0', '0', '0', '0']",2,0.88,-6.49,-9.71,-0.06,10.14,-5.93,11.55,-0.25,8.01
16,17,3,24,1,684,230,658,RVF-ASS-STRONG,ESSAY,WRITE,no,"['0', '0', '0', '0', '0', '0', '0']",2,3.59,5.53,3.86,6.73,5.64,5.41,5.34,4.86,0.16
17,18,4,16,1,1006,97,142,RVF-ASS-STRONG,CAFE,COFFEE,no,"['0', '0', '0', '0', '0', '0']",2,17.82,21.52,17.45,20.06,16.99,23.95,17.59,20.51,15.5
18,19,3,24,1,684,230,658,RVF-ASS-STRONG,ESSAY,WRITE,no,"['0', '0', '0', '0', '0', '0']",2,4.34,-1.63,1.29,4.99,2.8,0.63,2.35,2.21,0.39
19,20,4,16,1,1006,97,142,RVF-ASS-STRONG,CAFE,COFFEE,no,"['0', '0', '0', '0', '0', '0']",2,-17.83,-11.62,-19.77,-17.02,-13.23,-10.43,-13.07,-13.79,-9.47
20,21,4,16,1,1006,97,142,RVF-ASS-STRONG,CAFE,COFFEE,no,"['0', '0', '0', '0', '0', '0']",2,27.67,28.26,27.42,29.92,30.29,26.43,28.9,26.17,20.53
21,22,2,18,1,348,585,553,RVF-ASS-STRONG,THEFT,STEAL,no,"['0', '0', '0', '0', '0', '0']",2,13.1,18.62,12.93,11.72,7.49,12.46,7.24,9.01,-2.97
22,23,3,24,1,684,230,658,RVF-ASS-STRONG,ESSAY,WRITE,no,"['0', '0', '0', '0', '0', '0']",2,-7.81,-6.1,-7.55,-5.51,-6.05,-3.46,-3.59,-1.54,0.64
23,24,4,16,1,1006,97,142,RVF-ASS-STRONG,CAFE,COFFEE,no,"['0', '0', '0', '0', '0', '0']",2,11.7,9.47,12.69,11.68,14.53,4.01,10.7,6.18,0.07
0,1,2,30,1,360,316,248,RVF-ASS-STRONG,HOOK,FISH,no,"['0', '0', '0', '0', '0', '0']",3,16.36,19.59,19.81,19.76,14.99,21.65,19.39,23.78,20.71
1,2,1,37,1,37,577,35,RVF-ASS-STRONG,TELLER,BANK,no,"['0', '0', '0', '0', '0', '0']",3,0,0,0,0,0,0,0,0,0
2,3,1,37,1,37,577,35,RVF-ASS-STRONG,TELLER,BANK,no,"['0', '0', '0', '0', '0', '0']",3,11.2,13.65,14.68,11.97,7.14,11.88,9.15,10.87,8.9
3,4,2,30,1,360,316,248,RVF-ASS-STRONG,HOOK,FISH,no,"['0', '0', '0', '0', '0', '0']",3,17.96,20.13,18.36,21.14,15.22,21.12,16.94,20.99,16.32
4,5,1,37,1,37,577,35,RVF-ASS-STRONG,TELLER,BANK,no,"['0', '0', '0', '0', '0', '0']",3,7.3,11.77,10.19,11.79,8.22,12.13,9.16,12.46,9.4
5,6,2,30,1,360,316,248,RVF-ASS-STRONG,HOOK,FISH,no,"['0', '0', '0', '0', '0', '0']",3,0,0,0,0,0,0,0,0,0
6,7,1,37,1,37,577,35,RVF-ASS-STRONG,TELLER,BANK,no,"['0', '0', '0', '0', '0', '0']",3,23.57,21.62,26.49,23.67,20.79,18.4,20.91,17.02,9.5
7,8,2,30,1,360,316,248,RVF-ASS-STRONG,HOOK,FISH,no,"['0', '0', '0', '0', '0', '0']",3,0,0,0,0,0,0,0,0,0
8,9,1,37,1,37,577,35,RVF-ASS-STRONG,TELLER,BANK,no,"['0', '0', '0', '0', '0', '0']",3,1,12.37,4.09,10.44,2.3,16.84,12.54,17.07,17.92
9,10,2,30,1,360,316,248,RVF-ASS-STRONG,HOOK,FISH,no,"['0', '0', '0', '0', '0', '0']",3,12.76,13.44,11.42,13.83,15.21,15.01,14.95,11.86,11.09
10,11,1,37,1,37,577,35,RVF-ASS-STRONG,TELLER,BANK,no,"['0', '0', '0', '0', '0', '0']",3,16.21,16.8,14.22,21.94,14.12,18.52,21.39,22.43,18.06
11,12,3,46,1,706,263,262,RVF-ASS-STRONG,FORGIVE,FORGET,no,"['0', '0', '0', '0', '0', '0']",3,3.75,6.42,7.35,8.24,1.72,6.35,3.88,5.47,0.03
12,13,4,22,1,1012,64,222,RVF-ASS-STRONG,BOILED,EGGS,no,"['0', '0', '0', '0', '0', '0']",3,-9.68,-12.78,-12.85,-4.71,-5.37,-11.43,-5.17,-8.83,-6.67
13,14,3,46,1,706,263,262,RVF-ASS-STRONG,FORGIVE,FORGET,no,"['0', '0', '0', '0', '0', '0']",3,18.03,19.5,19.31,20.38,17.67,20.7,18.65,16.55,9.54
14,15,4,22,1,1012,64,222,RVF-ASS-STRONG,BOILED,EGGS,no,"['0', '0', '0', '0', '0', '0']",3,-7.5,0.8,-5.28,-5.44,-4.15,4.42,-1.5,2.97,0.63
15,16,4,22,1,1012,64,222,RVF-ASS-STRONG,BOILED,EGGS,no,"['0', '0', '0', '0', '0', '0', '0', '0']",3,8.64,16.01,13.45,11.38,5.99,17.02,4.66,5.92,9
16,17,3,46,1,706,263,262,RVF-ASS-STRONG,FORGIVE,FORGET,no,"['0', '0', '0', '0', '0', '0']",3,-0.16,-0.7,-0.09,-1.4,3.49,-1.45,-0.8,-3.46,-4.43
17,18,4,22,1,1012,64,222,RVF-ASS-STRONG,BOILED,EGGS,no,"['0', '0', '0', '0', '0', '0']",3,20.38,18.21,24.11,21.41,17,18.66,20.23,20.05,15.23
18,19,3,46,1,706,263,262,RVF-ASS-STRONG,FORGIVE,FORGET,no,"['0', '0', '0', '0', '0', '0']",3,7.3,7.67,7.75,7.47,8.47,9.02,3.06,4.18,1.76
19,20,4,22,1,1012,64,222,RVF-ASS-STRONG,BOILED,EGGS,no,"['0', '0', '0', '0', '0', '0']",3,2.32,3.32,-0.89,1.86,6.7,5.67,6.13,5.27,6.34
20,21,4,22,1,1012,64,222,RVF-ASS-STRONG,BOILED,EGGS,no,"['0', '0', '0', '0', '0', '0']",3,6.12,9.89,7.44,9.88,7.09,10.83,9.78,10.42,8.06
21,22,2,30,1,360,316,248,RVF-ASS-STRONG,HOOK,FISH,no,"['0', '0', '0', '0', '0', '0']",3,-6.08,-4.27,-4.48,-3.96,-3.02,-3.66,-1.57,-1.55,0.42
22,23,3,46,1,706,263,262,RVF-ASS-STRONG,FORGIVE,FORGET,no,"['0', '0', '0', '0', '0', '0']",3,0,0,0,0,0,0,0,0,0
23,24,4,22,1,1012,64,222,RVF-ASS-STRONG,BOILED,EGGS,no,"['0', '0', '0', '0', '0', '0']",3,15.68,16.16,14.81,13.47,16.47,17.42,12,11.99,6.96
0,1,2,39,1,369,434,454,RVF-ASS-STRONG,PATROL,POLICE,no,"['0', '0', '0', '0', '0', '0']",4,11.71,12.63,12.36,14.86,10.27,15.77,14.77,16.71,10.23
1,2,1,42,1,42,281,283,RVF-ASS-STRONG,GOING,GONE,no,"['0', '0', '0', '0', '0', '0']",4,16.41,12.5,17.69,9.24,11.85,4.02,6.26,3.18,3
2,3,1,42,1,42,281,283,RVF-ASS-STRONG,GOING,GONE,no,"['0', '0', '0', '0', '0', '0']",4,0,0,0,0,0,0,0,0,0
3,4,2,39,1,369,434,454,RVF-ASS-STRONG,PATROL,POLICE,no,"['0', '0', '0', '0', '0', '0']",4,6.62,7.85,5.43,6.44,2.6,12.64,2.72,7.16,1.23
4,5,1,42,1,42,281,283,RVF-ASS-STRONG,GOING,GONE,no,"['0', '0', '0', '0', '0', '0']",4,22.37,23.29,25.78,22.1,16.62,18.81,16.96,16.39,9.91
5,6,2,39,1,369,434,454,RVF-ASS-STRONG,PATROL,POLICE,no,"['0', '0', '0', '0', '0', '0']",4,0,0,0,0,0,0,0,0,0
6,7,1,42,1,42,281,283,RVF-ASS-STRONG,GOING,GONE,no,"['0', '0', '0', '0', '0', '0']",4,-1.61,-0.12,2.47,4.42,-6.82,-2.21,-4.99,-1.89,-9.66
7,8,2,39,1,369,434,454,RVF-ASS-STRONG,PATROL,POLICE,no,"['0', '0', '0', '0', '0', '0']",4,8.27,2.62,4.31,3.11,7.82,1.71,2.47,1.17,-0.56
8,9,1,42,1,42,281,283,RVF-ASS-STRONG,GOING,GONE,no,"['0', '0', '0', '0', '0', '0']",4,27.38,26.69,33.13,27.46,21.55,17.07,21.08,17.24,10.05
9,10,2,39,1,369,434,454,RVF-ASS-STRONG,PATROL,POLICE,no,"['0', '0', '0', '0', '0', '0']",4,16.23,16.91,24.54,20.14,13.76,15.85,16.39,16.41,11.94
10,11,1,42,1,42,281,283,RVF-ASS-STRONG,GOING,GONE,no,"['0', '0', '0', '0', '0', '0']",4,8.2,6.45,5.7,12.42,9.25,11.38,13.52,15.91,13.37
11,12,3,52,1,712,48,280,RVF-ASS-STRONG,BIBLE,GOD,no,"['0', '0', '0', '0', '0', '0']",4,0,0,0,0,0,0,0,0,0
12,13,4,32,1,1022,440,529,RVF-ASS-STRONG,PILLOW,SLEEP,no,"['0', '0', '0', '0', '0', '0']",4,-3.67,-0.94,-4.43,0.52,4.59,3.07,6.04,2.06,3.74
13,14,3,52,1,712,48,280,RVF-ASS-STRONG,BIBLE,GOD,no,"['0', '0', '0', '0', '0', '0']",4,0,0,0,0,0,0,0,0,0
14,15,4,32,1,1022,440,529,RVF-ASS-STRONG,PILLOW,SLEEP,no,"['0', '0', '0', '0', '0', '0']",4,0,0,0,0,0,0,0,0,0
15,16,4,32,1,1022,440,529,RVF-ASS-STRONG,PILLOW,SLEEP,no,"['0', '0', '0', '0', '0', '0', '0']",4,-11.1,-11.33,-9.93,-8.71,-3.88,-7.98,-10,-19.31,-6.22
16,17,3,52,1,712,48,280,RVF-ASS-STRONG,BIBLE,GOD,no,"['0', '0', '0', '0', '0', '0']",4,-2.9,-3.09,-10.93,1.81,4.94,6.18,9.19,7.71,7.15
17,18,4,32,1,1022,440,529,RVF-ASS-STRONG,PILLOW,SLEEP,no,"['0', '0', '0', '0', '0', '0']",4,26.56,27.19,28.83,27.13,21.44,24.46,21.28,21.55,15.38
18,19,3,52,1,712,48,280,RVF-ASS-STRONG,BIBLE,GOD,no,"['0', '0', '0', '0', '0', '0']",4,1.43,8.02,6.57,4.24,-0.26,3.16,-0.77,0.61,-2.26
19,20,4,32,1,1022,440,529,RVF-ASS-STRONG,PILLOW,SLEEP,no,"['0', '0', '0', '0', '0', '0']",4,-2.33,-5.37,-3.04,-9.11,-0.66,-3.91,-2.36,-2.98,-2.08
20,21,4,32,1,1022,440,529,RVF-ASS-STRONG,PILLOW,SLEEP,no,"['0', '0', '0', '0', '0', '0']",4,30.35,28.57,28.1,27.43,31.16,30.73,31.32,29.04,26.11
21,22,2,39,1,369,434,454,RVF-ASS-STRONG,PATROL,POLICE,no,"['0', '0', '0', '0', '0', '0']",4,-2.39,3.96,-8.04,5.33,5.31,8.75,11.59,15.09,15.23
22,23,3,52,1,712,48,280,RVF-ASS-STRONG,BIBLE,GOD,no,"['0', '0', '0', '0', '0', '0']",4,6.9,6.96,4.26,8.38,10.07,10.19,11.39,14.04,10.95
23,24,4,32,1,1022,440,529,RVF-ASS-STRONG,PILLOW,SLEEP,no,"['0', '0', '0', '0', '0', '0']",4,20.87,23.84,19.37,23.5,21.02,18.69,21.3,22.29,12.58
0,1,2,52,1,382,455,514,RVF-ASS-STRONG,POLISH,SHINE,no,"['0', '0', '0', '0', '0', '0']",5,23.22,28.54,19.26,37.43,25.88,36.09,33.41,38.88,27.91
1,2,1,65,1,65,94,378,RVF-ASS-STRONG,BUTCHER,MEAT,no,"['0', '0', '0', '0', '0', '0']",5,12.24,12.28,11.6,13.29,11.78,11.51,12.87,11.51,7.94
